Date,Customer_ID,Customer_Name,Region,Revenue
2025-01-01,C001,Acme Logistics,North,1200
2025-01-02,C002,BrightPath Education,south,850
01/03/2025,C003,Northstar Retail,NORTH,1500
2025-01-04,,DataFlow Inc,West,2200
2025-01-05,C005,GreenTech Solutions, east ,950
2025/01/06,C006,BlueWave Consulting,South,1800
2025-01-07,C007,Acme Logistics,north,1300
2025-01-08,C008,FutureLearn Academy,West,
09-01-2025,C009,SmartOps Ltd,EAST,1100
2025-01-10,C010,CloudBridge Technologies,South,1750
2025-01-11,C011,RetailPro Systems,North,980
2025-01-12,C012,Insight Analytics,west,2100
2025-01-13,C013,Acme Logistics,North,1250
2025-01-14,C014,GreenTech Solutions,East,1020
2025-01-15,C015,DataFlow Inc,West,2300
2025-01-16,C016,BrightPath Education,South,920
2025-01-17,C017,Northstar Retail,North,1600
2025-01-18,C018,FutureLearn Academy,West,1450
2025-01-19,C019,CloudBridge Technologies,South,1850
2025-01-20,C020,Insight Analytics,West,2050
2025-01-05,C005,GreenTech Solutions, east ,950
2025-01-10,C010,CloudBridge Technologies,South,1750
2025-01-22,,RetailPro Systems,North,1000
2025-01-23,C023,SmartOps Ltd,East,1150
2025-01-24,C024,BlueWave Consulting,South,1900
2025-01-25,C025,Acme Logistics,North,1400
2025-01-26,C026,FutureLearn Academy,West,1500
2025-01-27,C027,GreenTech Solutions,East,
2025-01-28,C028,DataFlow Inc,West,2400
2025-01-29,C029,Insight Analytics,WEST,2150
