Order_ID,Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Discount,Sales,Payment_Method,Salesperson
ORD-10523,2026-06-03,CUST-1224,Webcam,Accessories,North,1,76.09,0.0,76.09,Credit Card,David
ORD-10602,2026-04-28,CUST-1091,Keyboard,Accessories,,3,55.22,0.2,132.53,debit card,Daniel
ORD-10526,2026-05-22,CUST-1200,Printer,Office Equipment,West,5,212.55,0.2,850.2,Bank Transfer,Daniel
ORD-10031,2026-06-08,CUST-1020,Webcam,Accessories,East,5,132.03,0.2,528.12,Bank Transfer,Emma
ORD-10616,2026-02-22,CUST-1139,Headphones,Accessories,North,5,159.76,0.05,758.86,PayPal,James
ORD-10585,2026-06-26,CUST-1096,Tablet,Electronics,West,3,734.64,0.0,2203.92,PayPal,Daniel
ORD-10444,2026-06-30,CUST-1104,Headphones,Accessories,South,5,82.07,0.15,348.8,PayPal,Olivia
ORD-10732,2026-06-27,CUST-1032,mouse,Accessories,West,3,31.45,0.2,75.48,PayPal,Emma
ORD-10076,2026-05-07,CUST-1217,Tablet,Electronics,East,2,409.1,0.1,,Bank Transfer,Daniel
ORD-10411,2026-07-18,CUST-1211,Tablet,Electronics,North,4,461.65,0.2,,Debit Card,Sophia
ORD-10568,2026-06-26,CUST-1236,Printer,Office Equipment,North,4,481.44,0.1,1733.18,PayPal,Daniel
ORD-10070,2026-01-28,CUST-1148,Laptop,Electronics,West,-1,1728.89,0.15,7347.78,Debit Card,Sarah
ORD-10675,2026-02-06,CUST-1220,Headphones,Accessories,East,4,232.57,0.05,883.77,bank transfer,Sophia
ORD-10101,2026-03-21,CUST-1141,Laptop,Electronics,North,1,1352.25,0.05,1284.64,PayPal,Sarah
ORD-10894,2026-01-05,CUST-1091,Headphones,Accessories,North,2,121.41,0.05,230.68,Credit Card,Olivia
ORD-10925,2026-05-27,CUST-1161,Headphones,Accessories,North,1,162.21,0.2,129.77,Debit Card,James
ORD-10629,2026-07-15,CUST-1156,Headphones,Accessories,South,5,171.12,0.05,812.82,Debit Card,James
ORD-10299,2026-07-24,CUST-1074,Monitor,Electronics,South,4,527.59,0.15,1793.81,Bank Transfer,Emma
ORD-10924,2026-08-19,CUST-1101,,Electronics,North,4,624.6,0.1,2248.56,Debit Card,James
ORD-10424,2026-02-08,CUST-1132,Mouse,Accessories,East,5,91.97,0.15,390.87,Debit Card,James
ORD-10096,2026-05-01,CUST-1089,Webcam,Accessories,East,1,86.66,0.05,82.33,PayPal,Sophia
ORD-10900,2026-04-23,CUST-1248,Webcam,Accessories,West,1,147.69,0.05,140.31,Bank Transfer,Daniel
ORD-10260,2026-03-12,CUST-1015,Keyboard,Accessories,West,4,108.86,0.2,348.35,Credit Card,Olivia
ORD-10350,2026-03-09,CUST-1182,Monitor,Electronics,North,5,398.46,0.1,1793.07,PayPal,Michael
ORD-10528,2026-02-24,CUST-1130,Webcam,Accessories,North,5,150.05,0.2,600.2,Debit Card,David
ORD-10694,2026-03-04,CUST-1120,Monitor,Electronics,East,5,473.63,0.2,1894.52,Credit Card,Olivia
ORD-10361,2026-07-11,CUST-1021,Monitor,Electronics, North ,4,402.17,0.0,1608.68,PayPal,Michael
ORD-10611,2026-07-18,CUST-1110,Tablet,Electronics,North,5,710.84,0.0,3554.2,PayPal,David
ORD-10884,2026-02-07,CUST-1121,Webcam,Accessories,West,2,43.05,0.05,81.79,PayPal,Sophia
ORD-10720,2026-03-18,CUST-1178,Webcam,Accessories,North,3,165.5,0.15,422.02,PayPal,Emma
ORD-10486,2026-07-17,CUST-1137,Laptop,Electronics,West,2,1426.93,0.05,2711.17,Credit Card,Emma
ORD-10693,2026-05-29,CUST-1123,Monitor,Electronics,West,5,256.83,0.1,1155.73,Credit Card,Sarah
ORD-10678,2026-05-17,CUST-1118,Webcam,Accessories,South,2,122.68,0.2,,Debit Card,Sophia
ORD-10809,2026-06-09,CUST-1159,Monitor,Electronics,West,5,504.07,0.15,2142.3,Debit Card,Daniel
ORD-10408,2026-02-14,CUST-1070,Webcam,Accessories,North,5,60.14,0.15,255.59,PayPal,Olivia
ORD-10740,2026-07-08,CUST-1105,Mouse,Accessories,West,2,50.04,0.0,,PayPal,James
ORD-10213,2026-07-07,CUST-1220,Tablet,Electronics,North,2,885.22,0.1,1593.4,Bank Transfer,Emma
ORD-10589,2026-07-04,CUST-1016,Webcam,Accessories,South,4,66.58,0.2,213.06,Bank Transfer,Olivia
ORD-10365,2026-04-29,CUST-1067,Monitor,Electronics,North,3,236.17,0.2,566.81,Debit Card,Olivia
ORD-10199,2026-08-22,CUST-1143,Monitor,Electronics,South,3,304.71,0.15,777.01,Bank Transfer,Sophia
ORD-10636,2026-08-15,CUST-1077,Headphones,Accessories,North,4,142.27,0.1,,Debit Card,Sophia
ORD-10628,2026-07-10,CUST-1239,Headphones,Accessories, South ,2,80.39,0.0,160.78,Debit Card,James
ORD-10828,2026-06-25,CUST-1153,Mouse,Accessories,South,1,52.47,0.05,49.85,Credit Card,Emma
ORD-10352,2026-08-08,CUST-1220,Laptop,Electronics,West,4,1044.55,0.1,3760.38,Debit Card,Michael
ORD-10329,2026-04-20,CUST-1211,Mouse,Accessories,East,3,59.58,0.1,160.87,Debit Card,Sophia
ORD-10981,2026-03-17,CUST-1113,Tablet,Electronics,East,1,438.11,0.15,372.39,PayPal,Sophia
ORD-10837,2026-01-06,CUST-1165,Laptop,Electronics,East,1,1641.47,0.05,1559.4,PayPal,Daniel
ORD-10244,2026-06-27,CUST-1060,Laptop,Electronics,South,4,1467.79,0.1,5284.04,PayPal,Daniel
ORD-10286,2026-07-18,CUST-1083,Laptop,Electronics,South,4,1434.12,0.15,4876.01,Bank Transfer,David
ORD-10289,2026-01-24,CUST-1001,Headphones,Accessories,South,3,138.95,0.0,416.85,Credit Card,Michael
ORD-10598,2026-08-05,CUST-1095,Webcam,Accessories,South,4,146.99,0.1,529.16,Debit Card,David
ORD-10761,2026-06-24,CUST-1138,Keyboard,Accessories,North,4,92.13,0.15,313.24,Bank Transfer,Emma
ORD-10059,2026-04-23,CUST-1019,Headphones,Accessories,North,3,96.9,0.1,261.63,Debit Card,Michael
ORD-10622,2026-07-27,CUST-1015,Headphones,Accessories,East,1,225.74,0.2,180.59,Debit Card,Michael
ORD-10318,2026-01-22,CUST-1144,Laptop,Electronics,North,2,1595.88,0.1,2872.58,Bank Transfer,Emma
ORD-10010,2026-07-10,CUST-1143,Headphones,Accessories,West,4,199.4,0.2,638.08,Bank Transfer,Emma
ORD-10237,2026-06-16,CUST-1146,Mouse,Accessories,West,1,62.81,0.05,59.67,Debit Card,James
ORD-10331,2026-04-27,CUST-1000,Webcam,Accessories,South,2,68.32,0.1,122.98,Bank Transfer,Sarah
ORD-10705,2026-06-23,CUST-1080,Laptop,Electronics,West,5,897.36,0.1,4038.12,Bank Transfer,Olivia
ORD-10086,2026-02-08,CUST-1038,Headphones,Accessories,West,2,67.04,0.0,134.08,Debit Card,David
ORD-10803,2026-06-22,CUST-1026,Webcam,Accessories, South ,1,101.33,0.0,101.33,PayPal,David
ORD-10174,2026-03-21,CUST-1247,Printer,Office Equipment,West,2,466.39,0.1,839.5,PayPal,Daniel
ORD-10312,2026-05-31,CUST-1029,Tablet,Electronics,South,4,511.19,0.2,1635.81,Bank Transfer,Sarah
ORD-10462,2026-01-30,CUST-1024,Mouse,Accessories,East,3,20.18,0.1,54.49,Credit Card,James
ORD-10218,2026-06-02,CUST-1225,Printer,Office Equipment,West,1,250.01,0.0,250.01,Debit Card,Daniel
ORD-10030,2026-01-18,CUST-1152,Monitor,Electronics,North,2,470.09,0.15,799.15,Debit Card,James
ORD-10547,2026-06-26,CUST-1002,Laptop,Electronics,North,4,1474.1,0.2,4717.12,Bank Transfer,Olivia
ORD-10664,2026-05-10,CUST-1006,Printer,Office Equipment,East,2,466.73,0.05,886.79,PayPal,Daniel
ORD-10054,2026-03-04,CUST-1121,MONITOR,Electronics,West,5,382.17,0.05,1815.31,PayPal,David
ORD-10023,2026-04-30,CUST-1221,Laptop,Electronics,West,1,1473.36,0.0,1473.36,Bank Transfer,Sarah
ORD-10256,2026-07-27,CUST-1169,Webcam,Accessories,South,1,126.09,0.05,119.79,Credit Card,Sarah
ORD-10450,2026-01-30,CUST-1102,Webcam,Accessories,West,3,174.72,0.15,445.54,PayPal,Michael
ORD-10003,2026-02-09,CUST-1055,Tablet,Electronics,East,4,361.33,0.0,1445.32,Bank Transfer,Daniel
ORD-10833,2026-05-08,CUST-1226,Monitor,Electronics,East,1,295.23,0.1,265.71,PayPal,Emma
ORD-10552,2026-05-08,CUST-1034,Tablet,Electronics,North,3,771.2,0.1,2082.24,PayPal,Sarah
ORD-10638,2026-04-16,CUST-1082,Printer,Office Equipment,South,4,,0.2,507.9,PayPal,Sarah
ORD-10477,2026-04-25,CUST-1045,Monitor,Electronics,North,2,274.79,0.2,439.66,PayPal,James
ORD-10956,2026-07-15,CUST-1024,Printer,Office Equipment,North,1,352.63,0.0,352.63,PayPal,Olivia
ORD-10662,2026-07-01,CUST-1008,Headphones,Accessories,East,4,132.77,0.05,504.53,PayPal,Daniel
ORD-10518,2026-06-02,CUST-1151,Monitor,Electronics,North,4,291.93,0.05,1109.33,Credit Card,Emma
ORD-10960,2026-04-27,CUST-1132,Tablet,Electronics,North,1,652.69,0.0,652.69,Credit Card,Emma
ORD-10953,2026-07-08,CUST-1057,Webcam,Accessories,South,2,174.09,0.05,330.77,Bank Transfer,Daniel
ORD-10979,2026-06-13,CUST-1235,Laptop,Electronics,South,2,1007.2,0.15,1712.24,PayPal,Emma
ORD-10575,2026-02-25,CUST-1087,Webcam,Accessories,West,4,83.62,0.1,301.03,Credit Card,Olivia
ORD-10539,2026-04-08,CUST-1162,Mouse,Accessories,West,2,,0.1,133.47,Bank Transfer,James
ORD-10215,2026-08-10,CUST-1157,Webcam,Accessories,East,2,74.76,0.1,134.57,Debit Card,Michael
ORD-10737,2026-03-27,CUST-1157,Printer,Office Equipment,South,1,165.16,0.2,,Debit Card,James
ORD-10998,2026-02-21,CUST-1001,Keyboard,Accessories,South,4,89.03,0.2,284.9,Bank Transfer,Sophia
ORD-10713,2026-07-28,CUST-1067,Keyboard,Accessories,West,4,88.46,0.05,336.15,Debit Card,Sophia
ORD-10667,2026-08-16,CUST-1011,Monitor,Electronics,East,3,408.23,0.0,1224.69,Debit Card,Olivia
ORD-10039,2026-01-29,CUST-1019,Keyboard,Accessories,South,3,100.01,0.2,240.02,PayPal,Michael
ORD-10231,2026-05-03,CUST-1089,Headphones,Accessories,West,5,107.56,0.2,430.24,PayPal,Olivia
ORD-10494,2026-01-02,CUST-1146,Webcam,Accessories,South,1,115.2,0.1,103.68,Bank Transfer,Emma
